"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"MedicationDispenseIHEMM","","","",0,*,"","","","","[IHE MM] Logical Model for medication dispense","A medication dispense relates to zero or one prescription item of one prescription. There are cases when a medication is dispensed before the prescription is created. Medications dispensed outside the context of any prescription are considered as self-prescribed by the professional who dispenses. Thus they are still attached to a pseudo-prescription. A medication dispense is issued by one pharmacy staff. It is related to zero (community use case) or one (hospital use case) encounter of care.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"MedicationDispenseIHEMM.identifier","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"MedicationDispenseIHEMM.identifier",0,1,"",""
"MedicationDispenseIHEMM.status","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"MedicationDispenseIHEMM.status",0,1,"",""
"MedicationDispenseIHEMM.statusReason","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"MedicationDispenseIHEMM.statusReason",0,1,"",""
"MedicationDispenseIHEMM.category","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"MedicationDispenseIHEMM.category",0,1,"",""
"MedicationDispenseIHEMM.medication","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"MedicationDispenseIHEMM.medication",0,1,"",""
"MedicationDispenseIHEMM.subject","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"MedicationDispenseIHEMM.subject",0,1,"",""
"MedicationDispenseIHEMM.context","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"MedicationDispenseIHEMM.context",0,1,"",""
"MedicationDispenseIHEMM.supportingInformation","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"MedicationDispenseIHEMM.supportingInformation",0,1,"",""
"MedicationDispenseIHEMM.type","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"MedicationDispenseIHEMM.type",0,1,"",""
"MedicationDispenseIHEMM.quantity","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"MedicationDispenseIHEMM.quantity",0,1,"",""
"MedicationDispenseIHEMM.note","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"MedicationDispenseIHEMM.note",0,1,"",""
"MedicationDispenseIHEMM.prescription","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"MedicationDispenseIHEMM.prescription",0,1,"",""
"MedicationDispenseIHEMM.steps","","","",0,*,"","","","BackboneElement {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"MedicationDispenseIHEMM.steps",0,*,"",""
"MedicationDispenseIHEMM.steps.step_name","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"MedicationDispenseIHEMM.steps.step_name",0,1,"",""
"MedicationDispenseIHEMM.steps.datetime","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"MedicationDispenseIHEMM.steps.datetime",0,1,"",""
"MedicationDispenseIHEMM.steps.actor","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"MedicationDispenseIHEMM.steps.actor",0,1,"",""
"MedicationDispenseIHEMM.substitution","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"MedicationDispenseIHEMM.substitution",0,1,"",""
"MedicationDispenseIHEMM.receiver","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"MedicationDispenseIHEMM.receiver",0,1,"",""
"MedicationDispenseIHEMM.destination","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"MedicationDispenseIHEMM.destination",0,1,"",""
"MedicationDispenseIHEMM.detectedIssues","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"MedicationDispenseIHEMM.detectedIssues",0,1,"",""
"MedicationDispenseIHEMM.eventHistory","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"MedicationDispenseIHEMM.eventHistory",0,1,"",""
